page,name,unit,discount_percent,prices,current_price,original_price,raw_line,validity,category
1,OD ŠTVRTKA,,,"['14.', '5.', '2026', '20.', '5.', '2026', '20']",20,14.,OD  ŠTVRTKA  14. 5. 2026 DO STREDY 20. 5. 2026  č. 20,14. 5. 2026 - 20. 5. 2026,Ovocie a Zelenina
1,((((====,,,"['1111', '7777,', '55550000', '9999,', '55550000']",55550000,1111,"((((====1111 kkkkgggg KKKKCCCC:::: 7777,,,,55550000 //// BBBBCCCC:::: 9999,,,,55550000)))) ****",14. 5. 2026 - 20. 5. 2026,Ovocie a Zelenina
1,Čučoriedky,,,"['1,19']","1,19",,"Čučoriedky 1,19",14. 5. 2026 - 20. 5. 2026,Ovocie a Zelenina
1,NAD,,,"['20', '1']",1,20,NAD 20 EUR 1,14. 5. 2026 - 20. 5. 2026,Ovocie a Zelenina
1,zo Slovenska,,,"['2,99', '0,15']","0,15","2,99","zo Slovenska             2,99                               obal 0,15",14. 5. 2026 - 20. 5. 2026,Ovocie a Zelenina
1,pultový predaj,,,"['3,29']","3,29",,"pultový predaj     3,29",14. 5. 2026 - 20. 5. 2026,Ovocie a Zelenina
1,SME PRE VÁS AŽ,,,['5'],5,,SME    PRE     VÁS    AŽ            5,14. 5. 2026 - 20. 5. 2026,Ovocie a Zelenina
1,* Porovnanie cien výrobkov je k,,,"['30.', '4.', '2025', '30.', '4.', '2026', '1', '20', '1020', '11']",11,30.,* Porovnanie cien výrobkov je k 30. 4. 2025 a 30. 4. 2026 S1-SK-KW20-LFT-TITULKA-1020-11,14. 5. 2026 - 20. 5. 2026,Ovocie a Zelenina
1,,,,,"3,29","4,99","4,99 -34%
3,29",14. 5. 2026 - 20. 5. 2026,Ovocie a Zelenina
2,* Porovnanie cien výrobkov je k,,,"['30.', '4.', '2025']",2025,30.,* Porovnanie cien výrobkov je k 30. 4. 2025,14. 5. 2026 - 20. 5. 2026,Ovocie a Zelenina
3,OD ŠTVRTKA,,,"['14.', '5.']",5.,14.,OD  ŠTVRTKA    14. 5.,14. 5. 2026 - 20. 5. 2026,Ovocie a Zelenina
4,N -,,-30%,"['30', '39']",39,30,N                                         -30%                 -39%,14. 5. 2026 - 20. 5. 2026,Ovocie a Zelenina
4,ÁÁÁÁ (=,1 kg,,"['1', '3,18', '1', '3,98']","3,98",1,"ÁÁÁÁ  (=1 kg 3,18)         (=1 kg 3,98)",14. 5. 2026 - 20. 5. 2026,Ovocie a Zelenina
5,"žlté,",,-35%,"['00,', '9999', '35']",35,"00,","žlté,    00,,9999                                                  -35%",14. 5. 2026 - 20. 5. 2026,Ovocie a Zelenina
5,"varný typ A,",,,"['2,29']","2,29",,"varný typ A,                       2,29",14. 5. 2026 - 20. 5. 2026,Ovocie a Zelenina
5,varný typ B,1 kg,,['1'],1,,varný typ B                1 kg                       Špenát baby,14. 5. 2026 - 20. 5. 2026,Ovocie a Zelenina
5,Online leták (=,1 kg,,"['1', '2,18']","2,18",1,"Online leták              (=1 kg KC: 2,18 /",14. 5. 2026 - 20. 5. 2026,Ovocie a Zelenina
5,"zlacnených, ktoré sú osobitnou zľavou označené v predajni (napr. produkty s končiacim sa dátumom minimálnej trvanlivosti). S",,,"['5', '20', '1', '2', '1020', '11']",11,5,"zlacnených, ktoré sú osobitnou zľavou označené v predajni (napr. produkty s končiacim sa dátumom minimálnej trvanlivosti). S5-SK-KW20-LFT-OVO_ZEL_1_2_R-1020-11",14. 5. 2026 - 20. 5. 2026,Ovocie a Zelenina
5,,,,,"1,19","2,19","2,19 -45%
1,19",14. 5. 2026 - 20. 5. 2026,Ovocie a Zelenina
5,,,,,"1,99","3,29","3,29 -39%
1,99",14. 5. 2026 - 20. 5. 2026,Ovocie a Zelenina
5,eemmeerr kkvveettiinnááččaa::,,,,44,11,eemmeerr kkvveettiinnááččaa:: 11 | 44 ccmm,14. 5. 2026 - 20. 5. 2026,Ovocie a Zelenina
7,priemer kvetináča: priemer kvetináča:,6 kus,,['6'],6,,priemer kvetináča:          priemer kvetináča:        6 kusov v balení,14. 5. 2026 - 20. 5. 2026,Ovocie a Zelenina
7,vlastným programom už od roku,,,['2006.'],2006.,,vlastným programom už od roku 2006.,14. 5. 2026 - 20. 5. 2026,Ovocie a Zelenina
9,vianočka,400 g,,['400'],400,,vianočka               400 g                            rôzne druhy,14. 5. 2026 - 20. 5. 2026,Ostatné
9,,,,,"1,49","1,89","1,89 -21%
1,49",14. 5. 2026 - 20. 5. 2026,Ostatné
11,PONUKA NAVYŠE IBA V ONLINE LETÁKU OD ŠTVRTKA,,,"['14.', '5.']",5.,14.,PONUKA     NAVYŠE    IBA  V ONLINE   LETÁKU              OD  ŠTVRTKA    14. 5.,14. 5. 2026 - 20. 5. 2026,Ostatné
12,cena za,1 kg,,"['1', '1', '1']",1,1,cena za 1 kg            cena za 1 kg               cena za 1 kg,14. 5. 2026 - 20. 5. 2026,Ostatné
12,,,,,"13,90","15,90","15,90 -12%
13,90",14. 5. 2026 - 20. 5. 2026,Ostatné
13,Hovädzia do vyčerpania zásob,"5,89              Ml",,"['5,89', '5,19']","5,19","5,89","Hovädzia do vyčerpania zásob       5,89              Mleté   5,19",14. 5. 2026 - 20. 5. 2026,Ostatné
13,cena za,100 g,,['100'],100,,cena za 100 g,14. 5. 2026 - 20. 5. 2026,Ostatné
14,NEDELE,,,"['17.', '5.']",5.,17.,NEDELE 17. 5.,14. 5. 2026 - 20. 5. 2026,Ostatné
17,kuracia,,,"['2,57']","2,57",,"kuracia  2,57",14. 5. 2026 - 20. 5. 2026,Ostatné
17,Kráľovské,,,"['5,24']","5,24",,"Kráľovské 5,24",14. 5. 2026 - 20. 5. 2026,Ostatné
17,O | D ŠTVRTKA,,,,5.,14.,O | D ŠTVRTKA 14. 5.,14. 5. 2026 - 20. 5. 2026,Ostatné
17,-,,,,"1,99",22,"-22%
2,57
1,99",14. 5. 2026 - 20. 5. 2026,Ostatné
17,-,,,,"4,19",20,"-20%
5,24
4,19",14. 5. 2026 - 20. 5. 2026,Ostatné
17,-,,,,"6,79",20,"-20%
8,58
6,79",14. 5. 2026 - 20. 5. 2026,Ostatné
18,na vyprážanie,,,"['45', '45']",45,45,na vyprážanie 45 %          45 %                    pultový predaj,14. 5. 2026 - 20. 5. 2026,Ostatné
18,pultový predaj pultový predaj cena za,100 g,,['100'],100,,pultový predaj              pultový predaj          cena za 100 g,14. 5. 2026 - 20. 5. 2026,Ostatné
18,Cisársky syr,,,['44'],44,,Cisársky syr 44 %,14. 5. 2026 - 20. 5. 2026,Mliečne výrobky / Syry
18,Mozzarella,,,"['45', '48']",48,45,Mozzarella 45 %             Gouda 48 %              údený,14. 5. 2026 - 20. 5. 2026,Ostatné
18,pultový predaj pultový predaj,100 g,,['100'],100,,pultový predaj             pultový predaj           100 g,14. 5. 2026 - 20. 5. 2026,Ostatné
18,,,,,"0,59","0,69","0,69 -14%
0,59",14. 5. 2026 - 20. 5. 2026,Ostatné
19,-,,,,"1,19",25,"-25%
1,59
1,19",14. 5. 2026 - 20. 5. 2026,Ostatné
19,,,,,90,,"90 %
podiel mäsa",14. 5. 2026 - 20. 5. 2026,Ostatné
19,-,,,,"0,75",36,"-36%
1,19
0,75",14. 5. 2026 - 20. 5. 2026,Ostatné
19,,,,,97,,"97 %
podiel mäsa",14. 5. 2026 - 20. 5. 2026,Ostatné
19,-,,,,"0,79",33,"-33%
1,19
0,79",14. 5. 2026 - 20. 5. 2026,Ostatné
19,-,,,,"0,89",31,"-31%
1,29
0,89",14. 5. 2026 - 20. 5. 2026,Ostatné
19,-,,,,"1,05",29,"-29%
1,49
1,05",14. 5. 2026 - 20. 5. 2026,Ostatné
19,,,,,84,,"84 %
podiel mäsa",14. 5. 2026 - 20. 5. 2026,Ostatné
19,-,,,,"0,82",31,"-31%
1,19
0,82",14. 5. 2026 - 20. 5. 2026,Ostatné
19,,,,,96,,"96 %
podiel mäsa",14. 5. 2026 - 20. 5. 2026,Ostatné
19,,,,,79,,"79 %
podiel mäsa",14. 5. 2026 - 20. 5. 2026,Ostatné
20,OD ŠTVRTKA,10 kus,,"['14.', '5.', '10']",10,14.,OD  ŠTVRTKA    14. 5.                                               10 kusov,14. 5. 2026 - 20. 5. 2026,Ostatné
20,rôzne druhy,,,"['0,59']","0,59",,"rôzne druhy    0,59",14. 5. 2026 - 20. 5. 2026,Ostatné
20,BC:,,,"['5,56']","5,56",,"BC: 5,56) *",14. 5. 2026 - 20. 5. 2026,Ostatné
20,Cottage Cheese,,,"['0,69']","0,69",,"Cottage Cheese 0,69",14. 5. 2026 - 20. 5. 2026,Ostatné
20,Mascarpone,,,"['3,99']","3,99",,"Mascarpone  3,99",14. 5. 2026 - 20. 5. 2026,Ostatné
20,rôzne druhy,,,"['22,', '9999', '1,59']","1,59","22,","rôzne druhy   22,,9999                   1,59",14. 5. 2026 - 20. 5. 2026,Ostatné
20,BEŽNÁ CENA,,,,"1,39",,"BEŽNÁ CENA
1,39",14. 5. 2026 - 20. 5. 2026,Ostatné
21,rôzne druhy,,,"['1,11']","1,11",,"rôzne druhy 1,11",14. 5. 2026 - 20. 5. 2026,Ostatné
21,Niva,,,['48'],48,,Niva 48 %                   Tvarohový syr,14. 5. 2026 - 20. 5. 2026,Mliečne výrobky / Syry
21,Padano,120 g,-25%,"['32', '2,49', '120', '1,59', '25', '120']",120,32,"Padano 32 % 2,49       120 g     1,59 -25%         120 g       BEŽNÁ CENA",14. 5. 2026 - 20. 5. 2026,Ostatné
